product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,price
"HTC U11 (Solar Red, 128 GB)",6,12,3000,128,5.5,4.6,53990
"Gionee Marathon M5 Plus (Champagne Gold, 64 GB)",3,13,5020,64,6,4.1,26999
"HTC Desire 826 (Blue Lagoon, 16 GB)",2,13,2600,16,5.5,3.7,27990
"Redmi Note 8 (Cosmic Purple, 128 GB)",6,48,4000,128,6.3,4.4,15400
"Redmi 7 (Comet Blue, 32 GB)",2,12,4000,32,6.26,4.3,7995
"Asus Padfone Mini (White, 8 GB)",1,8,1200,8,4,3.5,12999
"Samsung Galaxy S10 Plus (Ceramic Black, 512 GB)",8,16,4100,512,6.4,4.6,73800
"LG L 80 Dual (White, 4 GB)",1,5,2540,4,5,3.7,14162
"Moto E 4th Gen (Iron Gray, 16 GB)",2,8,2800,16,5,4,8499
"LG L90 Dual (White, 8 GB)",1,8,2540,8,4,4.2,15532
Lava 34 Super,32,1,2500,32,2.4,4,1699
"Nokia 5.1 (Black, 32 GB)",3,16,2970,32,5.5,4,12450
"OPPO F11 Pro (Aurora Green, 64 GB)",6,48,4000,64,6.5,4.4,19999
"Asus Zenfone Selfie (Silver, 16 GB)",2,13,3000,16,5.5,3.9,14999
"Samsung Galaxy Note 9 (Metallic Copper, 128 GB)",6,12,4000,128,6.4,4.6,73600
Lava 34 SUPER,512,1,2500,32,2.4,3.9,1710
"Vivo V5s Perfect Selfie (Crown Gold, 64 GB)",4,13,3000,64,5.5,4.3,18990
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)",6,64,4500,128,6.7,4.2,25990
"Redmi Note 5 Pro (Black, 64 GB)",6,12,4000,64,5.99,4.5,13999
Trio T3 Selfie,32,1,1000,64,1.77,3.3,673
"Samsung Galaxy J2 Core (Black, 16 GB)",1,8,2600,16,5,4.2,6990
"Vivo Y91 (Nebula Purple, 32 GB)",3,13,4030,32,6.22,4.4,8389
"Tecno Camon i4 (Midnight Black, 64 GB)",4,13,3500,64,6.2,4.3,13499
"OPPO A7 (Glaze Blue, 64 GB)",3,13,4230,64,6.2,4.3,16869
"OPPO A7 (Glaze Blue, 64 GB)",4,13,4230,64,6.2,4.4,17500
Reach Champ i,32,1,1500,32,1.8,3.5,950
InFocus Hero Selfie C1,32,1,1000,32,1.8,3.9,950
Trio T6*,32,1,1000,256,2.4,3.3,715
"OPPO A5s (Green, 64 GB)",4,13,4230,64,6.2,4.3,14950
"Samsung Galaxy A50 (Black, 64 GB)",6,25,4000,64,6.4,4.4,24000
Trio T4 Flash,32,1,1000,64,1.77,3.5,648
"Lava Z71 (Ruby Red, 32 GB)",2,13,3200,32,5.71,3.6,6999
Karbonn K-Phone 1,32,1,1400,32,2.4,3.9,1489
"Samsung Galaxy Note 9 (Ocean Blue, 512 GB)",8,12,4000,512,6.4,4.6,93000
"Redmi Note 7 (Sapphire Blue, 64 GB)",4,12,4000,64,6.3,4.5,15499
"Redmi Note 5 Pro (Gold, 64 GB)",6,12,4000,64,5.99,4.5,11699
"Itel 1409 (Black & Gold, 8 GB)",512,2,1500,8,4,3.7,3100
"Nokia 3.1 Plus (Blue, 32 GB)",3,13,3500,32,6,4.2,12650
"LG W30 Pro (Midnight Blue, 64GB GB)",4,16,4050,64,6.21,4,14990
Lava Gem,32,1,1750,32,2.8,4.2,1699
"Zen Admire Shine (Champagne, 8 GB)",1,2,1750,8,4,3.6,2749
"Moto G6 (Indigo Black, 64 GB)",4,12,3000,64,5.7,4.2,20000
"OPPO A5s (Red, 32 GB)",2,13,4230,32,6.2,4.3,12990
"OPPO A5s (Blue, 32 GB)",2,13,4230,32,6.2,4.3,12990
"OPPO A5s (Black, 32 GB)",3,13,4230,32,6.2,4.3,9490
Trio T3 Selfie,32,1,1000,64,1.77,3.3,695
"Mi A3 (Not just Blue, 128 GB)",6,48,4030,128,6.08,4.3,16990
"Vivo Y81 (Gold, 32 GB)",4,13,3260,32,6.22,4.3,13950
"Samsung Galaxy A10s (Black, 32 GB)",2,13,4000,32,6.2,4.4,9490
"Samsung Galaxy M30S (Sapphire blue, 128 GB)",4,48,6000,128,6.4,4.3,17490
"Vivo Y95 (Starry Black, 64 GB)",4,13,4030,64,6.22,4.4,15999
nuvo FLASH,32,1,1000,32,2.4,3.6,899
nuvo FLASH,32,1,1000,32,2.4,3.6,849
nuvo FLASH,32,1,1000,32,2.4,3.6,849
nuvo FLASH,32,1,1000,32,2.4,3.6,899
nuvo FLASH,32,1,1000,32,2.4,3.6,899
Blackbear B5 Bucket,64,2,1050,64,1.8,3.7,699
"Samsung Galaxy S10e (Prism White, 128 GB)",6,16,3100,128,5.8,4.5,58000
"Vivo Y91 (Starry Black, 32 GB)",3,13,4030,32,6.22,4.4,9990
"Itel Selfiepro S41 (Obsidian Black, 16 GB)",3,8,2700,16,5,3.9,7800
"Samsung Galaxy S10e (Prism Black, 128 GB)",6,16,3100,128,5.8,4.5,59000
Itel It 5250,128,1,1900,512,2.4,4.1,1275
"Samsung Galaxy S10 Plus (Ceramic White, 1 TB)",12,16,4100,1,6.4,4.5,117990
"Samsung Galaxy A30s (Prism Crush White, 128 GB)",4,25,4000,128,6.4,4.3,16990
"OPPO A3s (Red, 64 GB)",4,13,4230,64,6.2,4.3,14495
"OPPO A3s (Purple, 64 GB)",4,13,4230,64,6.2,4.3,15000
"Tecno Camon i 2 (AQUA BLUE, 32 GB)",3,13,3750,32,6.2,4.2,12333
"Samsung Galaxy A6+ (Black, 64 GB)",4,16,3500,64,6,4.4,21999
"LG K9 4G LTE (Black, 16 GB)",2,8,2500,16,5,4,7700
Mymax M40,32,1,1000,32,1.8,3.5,799
"Gionee S10 Lite (Black, 32 GB)",4,13,3100,32,5.2,4.1,12990
"Vivo V5 Plus (Gold, 64 GB)",4,16,3055,64,5.5,4.3,17999
"Tecno Camon i4 (Midnight Black, 32 GB)",2,13,3500,32,6.2,4.1,10000
"Nokia 7.2 (Charcoal, 64 GB)",4,48,3500,64,6.3,4.2,16399
