,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
157,Mi 10 (Twi,8,108,4780,128,6.67,4.8,13,0,52620
158,Mi 10 (Cor,8,108,4780,128,6.67,4.8,13,0,51980
159,Mi 10 (Twi,8,108,4780,256,6.67,4.8,13,0,51980
160,Vivo V15 P,8,48,3700,128,6.39,4.5,2877,249,28499
161,Jmax M43 C,32,1,1050,32,1.8,4.1,10,0,1149
162,Lava PRIME,32,1,1200,32,2.4,4.1,523,78,1550
163,Motorola E,12,108,5000,256,6.7,4.2,73,18,74999
164,Muphone M3,32,1,,32,1.44,4.1,19,2,890
165,Muphone M3,32,1,,32,1.44,4.1,19,2,890
166,Muphone M3,32,1,,32,1.44,4.1,19,2,890
167,Gionee A1 ,4,13,4010,64,5.5,4.0,5781,1029,21499
168,Samsung Ga,4,48,6000,128,6.4,4.3,3017,270,18490
169,Samsung Ga,8,64,4500,128,6.7,4.5,123,30,77999
170,Itel It 21,32,0,1000,32,1.8,4.0,574,64,1049
171,Easyfone G,32,2,1050,32,2.3,3.4,42,9,3599
172,Jmax M40 C,32,1,1050,32,1.8,3.5,15,0,1149
173,Jmax M40 C,32,1,1050,32,1.8,3.5,15,0,1149
174,Jmax M40 C,32,1,1050,32,1.8,3.5,15,0,1149
175,Jmax M40 C,32,1,1050,32,1.8,3.5,15,0,1149
176,Jmax M40 C,32,1,1050,32,1.8,3.5,15,0,1149
177,Jmax M40 C,32,1,1050,32,1.8,3.5,15,0,1149
178,Kechaoda K,512,0,,32,1.77,4.0,6363,618,1045
179,Kechaoda K,32,0,,32,1.44,4.1,9349,830,949
180,OPPO Find ,8,16,3730,256,6.4,4.6,435,83,60990
181,OPPO A9 20,8,48,5000,128,6.5,4.3,5083,433,21990
182,Lenovo Z6 ,8,48,4000,128,6.39,3.8,128,34,26999
183,Yu Yureka ,4,13,3000,32,5,4.0,15941,4328,9990
184,Samsung Ga,4,16,4000,64,6.4,4.4,17179,1418,18000
185,Megus Eco,32,0,,32,1.77,3.1,97,9,790
186,Vivo V11 (,6,16,3315,64,6.3,4.5,17686,1753,24990
187,OPPO A5s (,4,13,4230,64,6.2,4.3,3819,281,14999
188,Nokia 110,4,1,,4,1.77,4.0,1767,133,1905
189,Muphone MU,32,1,,32,1.44,3.5,6,0,990
190,Karbonn KX,32,0,,32,1.8,3.9,298,27,799
191,Samsung Gu,,0,,,1.5,4.3,46986,5083,1662
192,Micromax X,32,0,2200,32,2.4,3.9,1788,201,1345
193,Micromax X,32,0,2200,32,2.4,3.9,1788,201,1345
194,Easyfone E,32,0,1000,32,2.4,4.1,176,32,3149
195,Redmi 6 (B,3,12,3000,64,5.45,4.4,544347,40502,10495
196,Easyfone E,32,0,1000,32,2.4,4.1,176,32,3149
197,Vivo V11 (,6,16,3315,64,6.3,4.5,17686,1753,24990
198,Honor 9N (,4,13,3000,128,5.84,4.3,223771,21306,19999
199,Honor 9N (,4,13,3000,128,5.84,4.3,223771,21306,19999
200,Honor 10 L,3,13,3400,32,6.21,4.4,27051,2780,13999
201,Heemax H7,512,0,1000,32,1.8,3.4,44,4,599
202,Redmi Note,3,12,4000,32,5.99,4.4,349864,43603,10999
203,Heemax H7,512,0,1000,32,1.8,3.4,44,4,599
204,Kechaoda K,32,0,1000,32,1.4,4.1,1776,138,925
205,SSKY S-70 ,32,1,2500,32,1.8,4.1,14,2,899
206,Motorola O,4,12,3500,128,6.3,4.2,27907,2997,10999
207,Motorola O,4,48,3500,128,6.3,4.1,10877,1421,14999
208,Blackbear ,64,1,1050,64,1.8,3.7,105,10,799
209,LG V30+ (B,4,16,3300,128,6,4.3,2010,392,24999
210,POCO F1 (R,8,12,4000,256,6.18,4.5,25176,2961,22999
211,Micromax X,32,0,3000,32,2.4,4.0,651,70,1425
212,Karbonn K8,32,0,1750,32,2.4,3.7,10,1,1245
213,POCO F1 (G,8,12,4000,256,6.18,4.5,25176,2961,22999
214,Vivo V15 (,6,12,4000,64,6.53,4.4,34930,2944,21099
215,Lenovo VIB,2,13,4900,32,5.5,4.1,17069,3278,15999
216,Samsung Ga,8,64,4000,128,6.2,4.4,100,20,70499
217,Itel It217,32,0,1000,32,1.8,4.1,1258,130,1095
218,Vivo V15 P,8,48,3700,128,6.39,4.5,2877,249,28450
219,Micromax X,32,0,2500,32,2.4,4.3,100,17,1399
220,Micromax X,56,0,,40,1.77,4.1,134,17,1080
221,I Kall K18,32,0,,64,1.8,3.6,358,26,1199
222,Itel it217,32,0,1000,32,1.8,4.1,123,13,1090
223,Kechaoda K,32,0,,32,1.77,4.1,14814,1341,984
224,I Kall K 3,32,0,1000,64,2.4,3.8,68,6,649
225,Itel It 21,32,0,1000,32,1.8,4.1,815,79,1030
226,Micromax X,32,0,1750,32,2.4,4.2,217,31,1286
227,MI3 (Metal,2,13,3050,16,5,4.4,14993,5152,13999
228,Mi A2 (Bla,6,20,3010,128,5.99,4.1,2568,231,16899
229,Honor 9i (,4,16,3340,64,5.9,4.3,69474,10400,19999
230,Nokia 3310,16,2,1200,32,2.4,3.8,25015,2886,3847
231,Karbonn K-,12,0,1750,32,2.8,3.9,2803,255,1499
232,Gionee F10,3,13,2400,16,5,3.9,2780,618,8990
233,Gionee F10,3,13,2400,16,5,3.9,2780,618,9599
234,Gfive U331,32,0,,64,1.8,3.4,39,3,579
235,Muphone M3,32,1,,32,1.44,4.4,7,1,1249
236,Lenovo Z2 ,3,13,3500,32,5,3.9,4289,974,15499
237,Honor 9N (,4,13,3000,64,5.84,4.3,223771,21306,15999
238,Nokia 5 (T,2,13,3000,16,5.2,4.0,909,166,11990
239,Gfive U106,32,0,,64,1.8,3.6,51,5,1149
240,Gfive U106,32,0,,64,1.8,3.6,51,5,1149
241,Muphone M3,32,1,,32,1.44,4.4,7,1,890
242,Muphone M3,32,1,,32,1.44,4.4,7,1,890
243,Muphone M3,32,1,,32,1.44,4.4,7,1,890
244,OPPO A9 20,4,48,5000,128,6.5,4.4,11147,928,18990
245,Tork X1,32,0,1000,32,1.8,,,,849
246,Karbonn KX,32,0,,32,1.8,3.9,710,63,899
247,GAMMA K1 N,32,0,1000,32,1.4,3.5,12,0,890
248,Jivi X606 ,5,0,1800,32,1.8,3.3,7,1,899
249,Lava 34 Pl,32,1,2500,32,2.4,4.2,297,28,1619
